48:13:7e:85:2b:fe, 1542447005, 1542447017, patricia, 12
1c:23:2c:42:3a:ab, 1542447037, 1542447065, patricia, 28
da:a1:19:01:85:98, 1542447008, 1542447069, patricia, 61
ac:1f:74:58:32:58, 1542447046, 1542447084, patricia, 38
fc:3f:7c:1b:cc:6b, 1542447006, 1542447101, patricia, 95
fc:3f:7c:1b:cc:6b, 1542447089, 1542447101, patricia, 12
8c:f5:a3:e7:ed:8a, 1542447010, 1542447184, patricia, 174
8c:f5:a3:e7:ed:8a, 1542447069, 1542447184, patricia, 115
8c:f5:a3:e7:ed:8a, 1542447176, 1542447184, patricia, 8
d4:76:ea:09:3b:2d, 1542447175, 1542447192, patricia, 17
e0:76:d0:d4:d0:12, 1542447172, 1542447204, patricia, 32
64:a2:f9:33:16:e9, 1542447029, 1542447225, patricia, 196
64:a2:f9:33:16:e9, 1542447154, 1542447225, patricia, 71
e0:76:d0:d4:d0:12, 1542447218, 1542447235, patricia, 17
4c:09:d4:33:a1:a5, 1542447200, 1542447241, patricia, 41
38:37:8b:15:57:e8, 1542447143, 1542447285, patricia, 142
38:37:8b:15:57:e8, 1542447265, 1542447285, patricia, 20
00:a0:57:1d:d1:03, 1542447001, 1542447301, patricia, 300
00:a0:57:1d:d1:03, 1542447064, 1542447301, patricia, 237
00:a0:57:1d:d1:03, 1542447238, 1542447301, patricia, 63
00:a0:57:1d:d1:03, 1542447291, 1542447301, patricia, 10
d4:76:ea:09:3b:2d, 1542447283, 1542447324, patricia, 41
b4:e1:c4:d0:74:4c, 1542447298, 1542447340, patricia, 42
fc:3f:7c:1b:cc:6b, 1542447132, 1542447358, patricia, 226
fc:3f:7c:1b:cc:6b, 1542447226, 1542447358, patricia, 132
fc:3f:7c:1b:cc:6b, 1542447304, 1542447358, patricia, 54
a0:28:ed:77:43:3d, 1542447353, 1542447360, patricia, 7
f0:5b:7b:58:19:6b, 1542447169, 1542447371, patricia, 202
f0:5b:7b:58:19:6b, 1542447290, 1542447371, patricia, 81
d4:76:ea:09:3b:2d, 1542447359, 1542447376, patricia, 17
40:4e:36:cd:b1:6f, 1542447220, 1542447406, patricia, 186
40:4e:36:cd:b1:6f, 1542447375, 1542447406, patricia, 31
00:00:00:02:02:02, 1542447120, 1542447445, patricia, 325
