48:13:7e:85:2b:fe, 1542447005, 1542447095, patricia, 90
ec:9b:f3:bf:44:c7, 1542447093, 1542447215, patricia, 122
00:00:00:02:02:02, 1542447120, 1542447228, patricia, 108
00:00:00:02:02:02, 1542447202, 1542447228, patricia, 26
fc:3f:7c:1b:cc:6b, 1542447006, 1542447238, patricia, 232
fc:3f:7c:1b:cc:6b, 1542447089, 1542447238, patricia, 149
fc:3f:7c:1b:cc:6b, 1542447132, 1542447238, patricia, 106
fc:3f:7c:1b:cc:6b, 1542447226, 1542447238, patricia, 12
64:a2:f9:33:16:e9, 1542447029, 1542447246, patricia, 217
64:a2:f9:33:16:e9, 1542447154, 1542447246, patricia, 92
50:01:d9:ca:96:4c, 1542447121, 1542447368, patricia, 247
a0:28:ed:77:43:3d, 1542447353, 1542447393, patricia, 40
da:a1:19:01:85:98, 1542447008, 1542447411, patricia, 403
da:a1:19:01:85:98, 1542447102, 1542447411, patricia, 309
e0:76:d0:d4:d0:12, 1542447172, 1542447415, patricia, 243
e0:76:d0:d4:d0:12, 1542447218, 1542447415, patricia, 197
18:d2:76:1c:a7:0d, 1542447125, 1542447439, patricia, 314
6c:19:c0:c7:42:ec, 1542447447, 1542447475, patricia, 28
da:a1:19:01:85:98, 1542447456, 1542447505, patricia, 49
fc:3f:7c:1b:cc:6b, 1542447304, 1542447535, patricia, 231
fc:3f:7c:1b:cc:6b, 1542447359, 1542447535, patricia, 176
fc:3f:7c:1b:cc:6b, 1542447488, 1542447535, patricia, 47
b4:e1:c4:d0:74:4c, 1542447298, 1542447542, patricia, 244
fc:3f:7c:1b:cc:6b, 1542447565, 1542447597, patricia, 32
32:b9:93:2a:b4:46, 1542447171, 1542447664, patricia, 493
00:00:00:00:00:00, 1542447013, 1542447717, patricia, 704
fc:3f:7c:1b:cc:6b, 1542447599, 1542447731, patricia, 132
fc:3f:7c:1b:cc:6b, 1542447685, 1542447731, patricia, 46
14:9d:09:e5:fc:5e, 1542447510, 1542447750, patricia, 240
86:72:91:b5:69:2b, 1542447666, 1542447772, patricia, 106
fc:3f:7c:1b:cc:6b, 1542447771, 1542447787, patricia, 16
3c:f7:a4:8e:5e:a1, 1542447508, 1542447799, patricia, 291
3c:f7:a4:8e:5e:a1, 1542447558, 1542447799, patricia, 241
40:8d:5c:55:e5:c5, 1542447785, 1542447816, patricia, 31
44:78:3e:df:1b:c1, 1542447153, 1542447832, patricia, 679
e8:b4:c8:d4:e0:c9, 1542447404, 1542447894, patricia, 490
da:a1:19:01:85:98, 1542447770, 1542447944, patricia, 174
94:e9:6a:8c:35:74, 1542447418, 1542447953, patricia, 535
94:e9:6a:8c:35:74, 1542447591, 1542447953, patricia, 362
94:e9:6a:8c:35:74, 1542447670, 1542447953, patricia, 283
94:e9:6a:8c:35:74, 1542447746, 1542447953, patricia, 207
94:e9:6a:8c:35:74, 1542447812, 1542447953, patricia, 141
00:00:00:02:02:02, 1542447612, 1542447959, patricia, 347
00:00:00:02:02:02, 1542447818, 1542447959, patricia, 141
00:00:00:02:02:02, 1542447857, 1542447959, patricia, 102
fc:3f:7c:1b:cc:6b, 1542447967, 1542447986, patricia, 19
40:40:a7:2b:6c:30, 1542447485, 1542448033, patricia, 548
40:40:a7:2b:6c:30, 1542447548, 1542448033, patricia, 485
40:40:a7:2b:6c:30, 1542447710, 1542448033, patricia, 323
84:8e:df:e2:df:ce, 1542447546, 1542448054, patricia, 508
84:8e:df:e2:df:ce, 1542447583, 1542448054, patricia, 471
84:8e:df:e2:df:ce, 1542447683, 1542448054, patricia, 371
44:80:eb:77:bd:a9, 1542447512, 1542448072, patricia, 560
44:80:eb:77:bd:a9, 1542447829, 1542448072, patricia, 243
44:80:eb:77:bd:a9, 1542447910, 1542448072, patricia, 162
b4:e1:c4:d0:74:4c, 1542447622, 1542448087, patricia, 465
b4:e1:c4:d0:74:4c, 1542447850, 1542448087, patricia, 237
b4:e1:c4:d0:74:4c, 1542447905, 1542448087, patricia, 182
00:00:00:02:02:02, 1542448035, 1542448098, patricia, 63
00:00:00:02:02:02, 1542448083, 1542448098, patricia, 15
d4:38:9c:b9:93:3a, 1542447542, 1542448103, patricia, 561
d4:38:9c:b9:93:3a, 1542447706, 1542448103, patricia, 397
d4:38:9c:b9:93:3a, 1542448052, 1542448103, patricia, 51
94:e9:6a:8c:35:74, 1542448125, 1542448141, patricia, 16
9c:d3:5b:d2:74:85, 1542447914, 1542448183, patricia, 269
9c:d3:5b:d2:74:85, 1542447968, 1542448183, patricia, 215
00:00:00:02:02:02, 1542448118, 1542448203, patricia, 85
dc:66:72:31:18:41, 1542447957, 1542448205, patricia, 248
dc:66:72:31:18:41, 1542448023, 1542448205, patricia, 182
da:3d:56:ac:fb:a3, 1542448109, 1542448244, patricia, 135
da:3d:56:ac:fb:a3, 1542448154, 1542448244, patricia, 90
04:d6:aa:85:8c:4a, 1542447486, 1542448269, patricia, 783
04:d6:aa:85:8c:4a, 1542447648, 1542448269, patricia, 621
04:d6:aa:85:8c:4a, 1542447746, 1542448269, patricia, 523
00:00:00:02:02:02, 1542448245, 1542448280, patricia, 35
d0:81:7a:41:85:57, 1542447118, 1542448316, patricia, 1198
d0:81:7a:41:85:57, 1542447149, 1542448316, patricia, 1167
d0:81:7a:41:85:57, 1542447594, 1542448316, patricia, 722
fc:3f:7c:1b:cc:6b, 1542448264, 1542448345, patricia, 81
fc:3f:7c:1b:cc:6b, 1542448310, 1542448345, patricia, 35
00:00:00:02:02:02, 1542448334, 1542448370, patricia, 36
c0:ee:fb:d3:48:61, 1542447485, 1542448392, patricia, 907
f4:c2:48:fe:51:64, 1542447571, 1542448395, patricia, 824
f4:c2:48:fe:51:64, 1542447973, 1542448395, patricia, 422
bc:54:51:8e:77:ea, 1542448296, 1542448448, patricia, 152
fc:3f:7c:1b:cc:6b, 1542448384, 1542448467, patricia, 83
fc:3f:7c:1b:cc:6b, 1542448458, 1542448467, patricia, 9
00:00:00:00:00:00, 1542448339, 1542448496, patricia, 157
02:a0:57:24:45:ae, 1542448460, 1542448500, patricia, 40
00:00:00:02:02:02, 1542448434, 1542448524, patricia, 90
c0:ee:fb:6c:1a:c6, 1542447942, 1542448531, patricia, 589
fc:3f:7c:1b:cc:6b, 1542448514, 1542448581, patricia, 67
da:a1:19:01:85:98, 1542448005, 1542448590, patricia, 585
da:a1:19:01:85:98, 1542448087, 1542448590, patricia, 503
da:a1:19:01:85:98, 1542448380, 1542448590, patricia, 210
e8:3a:12:23:e8:67, 1542448497, 1542448652, patricia, 155
fc:3f:7c:1b:cc:6b, 1542448614, 1542448679, patricia, 65
4a:dd:d1:82:42:77, 1542448085, 1542448711, patricia, 626
4a:dd:d1:82:42:77, 1542448129, 1542448711, patricia, 582
44:d8:84:1b:33:72, 1542448086, 1542448721, patricia, 635
44:d8:84:1b:33:72, 1542448268, 1542448721, patricia, 453
44:d8:84:1b:33:72, 1542448313, 1542448721, patricia, 408
e6:2c:94:67:ea:fa, 1542448102, 1542448749, patricia, 647
68:5a:cf:c7:3f:1b, 1542448399, 1542448771, patricia, 372
e0:aa:96:2b:9b:a0, 1542448663, 1542448784, patricia, 121
e0:aa:96:2b:9b:a0, 1542448703, 1542448784, patricia, 81
52:88:fb:82:36:1d, 1542448130, 1542448806, patricia, 676
24:18:1d:57:00:a4, 1542447724, 1542448837, patricia, 1113
24:18:1d:57:00:a4, 1542447844, 1542448837, patricia, 993
24:18:1d:57:00:a4, 1542447966, 1542448837, patricia, 871
fc:3f:7c:1b:cc:6b, 1542448737, 1542448851, patricia, 114
08:c5:e1:e7:75:50, 1542448000, 1542448878, patricia, 878
08:c5:e1:e7:75:50, 1542448123, 1542448878, patricia, 755
08:c5:e1:e7:75:50, 1542448184, 1542448878, patricia, 694
08:c5:e1:e7:75:50, 1542448440, 1542448878, patricia, 438
5c:f8:a1:45:29:04, 1542448624, 1542448908, patricia, 284
d4:e6:b7:00:8a:0b, 1542448546, 1542448922, patricia, 376
d4:e6:b7:00:8a:0b, 1542448666, 1542448922, patricia, 256
00:5a:13:b4:21:9e, 1542447593, 1542448927, patricia, 1334
